čas	co2	co2 - linearni$
2002.31	375.55	4.909199184968202
2002.38	375.55	4.813137034531792
2002.46	375.4	4.553351719747752
2002.54	374.02	3.0635664049636944
2002.61	371.49	0.4375042545279939
2002.69	370.71	-0.4522810602561549
2002.77	370.24	-1.0320663750399035
2002.85	372.08	0.6981483101758386
2002.92	373.78	2.3020861597397015
2003.0	374.68	3.092300844955844
2003.08	375.63	3.932515530172168
2003.15	376.11	4.316453379735776
2003.23	377.65	5.746668064951791
2003.31	378.35	6.336882750167661
2003.38	378.35	6.240820599731705
2003.46	378.13	5.911035284947957
2003.54	376.62	4.29124997016379
2003.61	374.5	2.075187819727944
2003.69	372.99	0.4554025049437769
2003.77	373.0	0.35561719016004645
2003.85	374.35	1.5958318753760068
2003.92	375.7	2.849769724939506
2004.0	376.79	3.829984410155703
2004.08	377.37	4.300199095371681
2004.15	378.41	5.24413694493569
2004.23	380.52	7.2443516301518684
2004.31	380.63	7.244566315368047
2004.38	380.63	7.148504164931637
2004.46	379.57	5.978718850148198
2004.54	377.79	4.088933535364049
2004.61	375.86	2.0628713849282576
2004.69	374.06	0.15308607014367226
2004.77	374.24	0.22330075535955984
2004.85	375.86	1.7335154405759567
2004.92	377.48	3.2574532901398925
