$p=5$	$p=10$	$p=15$	$p=20$	$p=25$	$\text{FFT + Hann}$
5978.783397140092	68.28035252360036	31.04127082972498	17.63645768105132	16.32268036434083	35.2413308830826
5853.185096394214	72.51704811639496	29.81640355444836	17.553084248113272	14.158381644813998	31.881125489460118
5737.701241630373	78.51010327997689	29.294284272435892	17.943954292783744	12.718698005181178	62.17618546994446
5631.593570498194	86.72986030098407	29.465616778071972	18.85476437999574	11.841015986022047	114.47135672590598
5534.02424093123	97.88233399994802	30.378390437285894	20.384903159411557	11.435822141748362	130.09997091968512
5444.053128281573	113.03432957616576	32.150414079461314	22.708211546680076	11.471953638525092	68.15814259392444
5360.632876586769	133.8262838285495	34.995893094989505	26.11182503647244	11.974264827471469	23.267056883041466
5282.602571027881	162.84563146912254	39.27553169804481	31.06748092502311	13.03466429559105	34.717615545756296
5208.681159092932	204.30714902788586	45.58974643165785	38.36515912822104	14.842744096637528	46.26573437709626
5137.462062131085	265.34988014213013	54.95655701645897	49.37375589973887	17.75218458073949	85.96245660555164
5067.410777927609	358.6441295368774	69.16702173604094	66.5772970541908	22.421871037739667	57.18523781474079
4996.8676522487385	507.9707866034885	91.54017863175821	94.7527186821117	30.12899453366482	9.201736128792794
4924.058342516806	761.0904797484252	128.65393554610975	143.77259709719272	43.51690037525923	41.39563331145588
4847.114729352058	1222.254680132741	194.70985832790888	235.96923411393743	68.56594073505305	88.20652892447222
4764.109038346254	2144.147949786772	323.95157782116127	428.07249517598876	120.4918324331122	85.9397671796869
4673.103573649357	4228.027342559535	612.0496458789536	888.2936553833143	244.63301151119512	123.71931925702728
4572.217584127769	9806.166010707568	1387.5657538995006	2236.779420504213	609.9331807721136	158.51509967719943
4459.711252386159	28842.46808497917	4193.95552714411	7665.84373112714	2105.3957983658906	4459.8952134944375
4334.084563182391	121404.96895815316	21545.64660841494	46888.19575313109	13465.34956460082	75905.33990135479
4194.185959411506	756704.1868142933	419021.14314532746	1272817.2083025181	483517.84213296743	143655.87844822023
4039.3225252525713	1503975.2943229675	28039747.17002859	11273866.119879851	6111129.840621463	75121.29015804581
3869.3604789168016	266573.4394684855	94923.67874284199	123227.4991665428	35161.24569068927	3030.7897014469336
3684.802744718432	48040.62784145509	8042.054451364494	13947.23103605698	4046.7718992808427	165.922269710465
3486.8301084113104	13154.649955924242	1699.035642779413	3449.793559739397	1055.7858535708212	141.48898375603196
3277.29458570564	4815.856635487821	544.9823319892508	1244.241526962092	408.4340972628223	69.15975843679533
3058.658365333441	2140.1686395534075	222.53801810176694	560.605486634318	200.3314138598935	45.2384037996941
2833.8785871049854	1089.6798208356915	106.50722620289281	292.6118530316924	115.55639367676467	3.952318597567768
2606.24614374543	613.4310922691752	57.09603748269729	169.5550838691914	75.16221042537491	35.453170658959024
2379.194016740903	373.0996636391026	33.351410133068406	106.21559557257167	53.7087892262088	54.78701347870882
2156.0956718938783	241.35920443278263	20.849441789888566	70.66654488266413	41.428756069988665	26.424100270999578
1940.0755170018454	164.23544768125169	13.777755997555994	49.311432417535485	34.05643164488801	22.390203427121733
1733.851009679331	116.60501265083512	9.539521882865703	35.75978112399731	29.532125426562967	28.340411767884724
1539.6203455450577	85.85739385173426	6.875534465438634	26.763033721624343	26.77124473338854	24.486350683801675
1359.0021750296305	65.25704296884847	5.133083201304979	20.56086277526736	25.146646419240312	36.47972783834554
1193.0262075882458	51.0140653240715	3.954537757036255	16.147366986046148	24.244973949119508	31.77473290669103
1042.1673614091594	40.89952268339991	3.1345472852644884	12.921365146109151	23.739433423415772	10.767004085001517
906.4122146500024	33.55172195692726	2.55038421341357	10.509451505663263	23.32359720768636	11.518868731625219
785.3451203707722	28.11094557474713	2.1261337332166206	8.67178244062763	22.69501455666746	32.876593374507
678.2420896758731	24.018653490776767	1.8134321715746133	7.249666025756316	21.59248404924648	47.19506187495833
584.162722681037	20.902868033698713	1.5806929312200562	6.135281981074605	19.874777927149836	22.067770577216375
502.03330324984364	18.510556083502753	1.4068724190571695	5.253606584483149	17.589025050703025	0.5866288555263768
430.71702467041507	16.66656559843186	1.2777578405542045	4.55131614625172	14.961591931219097	7.907695359466943
369.0697515473116	15.248054198676297	1.1837059578981632	3.989810235317851	12.298662200937063	26.06830803542017
315.98154445244546	14.168227331085218	1.1182465457293977	3.540737212924935	9.863096468738217	31.857054965144616
270.4053516261508	13.36583227446501	1.077222249915813	3.183080045443923	7.804842457634136	31.934549637947896
231.3748905091137	12.79831705226975	1.058279930877247	2.901241286103499	6.162400789593955	25.136294066935974
198.0139355490133	12.437403650823304	1.060613151947351	2.6837890993831617	4.902316940187464	9.391900028066491
169.53913817167023	12.266324759628441	1.0849108680324633	2.522662665829601	3.960493963622207	3.646032123643223
145.2582514266571	12.278284228495286	1.1335113425695356	2.412724565934229	3.2693352111822467	10.234864940757328
124.56530747108123	12.475908801488462	1.2108066422856691	2.351613577156332	2.770614695240812	9.777458688974724
106.9339626283708	12.871613629130792	1.3240075273349763	2.339911218085	2.419350096058482	1.2788348284620203
91.90991886896998	13.488941167743768	1.4844867216343471	2.3817073409179734	2.183488019019929	11.306996930419428
79.10307001760151	14.365080723736856	1.710120387703856	2.485760753073083	2.042354739321426	15.842053450178666
68.17981102535032	15.554963611325004	2.029450809143382	2.667650447141625	1.9854022415085395	11.113150138957762
58.85578696923909	17.137593776679356	2.4893456443008133	2.9537091721946824	2.0121021747756402	6.8754847630123574
50.889238942623834	19.225666722927382	3.169737712143155	3.388374090794419	2.1338237831449836	8.575875561171154
44.07501916238365	21.980119484277687	4.2135849982989795	4.048503646505042	2.3792402747287547	22.249414357241818
38.23928997666981	25.632120827533875	5.891899260458654	5.072874273529902	2.8068559644568407	21.51473931202315
33.234884343522815	30.5161951240422	8.756536268641325	6.727401209197496	3.5337597187476075	8.065485618679013
28.937283202651948	37.119495990218425	14.035844398627436	9.562563584927043	4.805780830027663	4.701114776354031
25.241153556951744	46.152734692817084	24.792043828040757	14.837575074092753	7.187062311592132	19.94396983073518
22.057386631542798	58.64454000557387	49.884054841401976	25.83716634810316	12.149861043519333	22.098800193607815
19.310575677663106	76.0431815625582	120.71864780884314	52.81207304366953	24.300347796045724	5.868000031746282
16.93687603186467	100.25267850829525	386.18606859780226	137.20856738064805	62.47216808886827	5.202319836636956
14.882194666862645	133.38505506184578	1917.9763646009685	530.687855002021	245.75882486702142	1740.6857226058628
13.100661825636056	176.7341783067279	14426.042542851157	4303.001128100573	2339.7752347570927	7544.596209997539
11.553342858647598	228.26458897772756	13427.656700601305	50419.62371204882	109802.05883702356	7306.427615307137
10.207153740200129	278.8185044230758	1628.6869208387732	4719.6540109753	3785.1712792180197	1503.3666533998555
9.033948725276307	310.9639514915805	302.0117632854523	418.18493576551015	235.56428108298135	24.29373480999844
8.00975312275819	307.5908467669342	86.69282412955411	81.83400209022928	42.3816223875932	35.12205833647005
7.114118169220399	267.30855012146947	32.83056224358779	24.47694386675725	12.36228058990608	19.32600432660513
6.329578494391082	207.26269814838287	14.934296221944257	9.423611111411097	4.743769359370822	6.49292345190897
5.641195703470613	148.0306927608827	7.73163996137687	4.288403517030341	2.1756528944318156	18.723322353560345
5.036174203922915	100.812043746619	4.407606061200009	2.1996104453807974	1.132516070790558	26.90455615307049
4.503537621512559	67.32408597954345	2.708126661764478	1.23529303150786	0.6486747946240378	15.646233958936213
4.033856029316499	44.93663260431851	1.7673422074866365	0.7453305778923148	0.4007149822259875	23.41068443717136
3.6190157991929746	30.323607218410256	1.2124165875885013	0.47691400580936644	0.26334256890639923	30.958092948952938
3.2520252191703274	20.81602261506633	0.8676834959818608	0.32063739606503094	0.18232165411323498	15.443581760848808
2.926850139602255	14.578156808784783	0.6441206840962241	0.2249591424411424	0.13202428762369905	11.285314685232228
2.6382748484671166	10.425718452699751	0.49381558395692715	0.16385847367229175	0.09944713014281746	7.521959065034251
2.381784160317531	7.612923368478004	0.3896437877205281	0.12342048895265659	0.07759136576271587	1.318473526433655
2.153463358570597	5.672041766694203	0.31557437488862794	0.09583285272087227	0.062498199042581325	2.3517950633307287
1.9499131779279786	4.307813428934432	0.26177623581803894	0.07652277316985316	0.05183194088212005	4.716277104304785
1.7681774704049709	3.3315844814474405	0.22202525060079215	0.06271566924666372	0.04416429682711492	7.230838576693385
1.6056815796356827	2.6210086104530124	0.1922716867322305	0.05267494050530207	0.03859531294293865	9.06428931260509
1.4601797663282465	2.0954544063971596	0.16981920842708625	0.04528442262970867	0.034544282250231366	6.461216713457987
1.329710293456487	1.7009046973911106	0.15283921854002053	0.03981083556430692	0.031630350988238215	8.508434707708302
1.2125570017532963	1.4005829713335878	0.1400756815515978	0.03576447084979963	0.029602420190980853	11.259364114195169
1.107216391623675	1.1690568422741954	0.13066176532911106	0.03281541893339005	0.028297217334350786	5.85157476120629
1.0123693828074831	0.9884747370507035	0.1240042850329446	0.030742283294771668	0.027614158951265875	7.331085631209575
0.9268570530583335	0.8461281212729959	0.11971073912806356	0.02940060209826443	0.027500774983950035	6.4281995599857
0.8496597659769057	0.7328488664338527	0.1175443263736829	0.02870378671321015	0.02794533593405482	4.143184367309646
0.7798791894458094	0.6419403415135868	0.11739858674243922	0.02861257629981903	0.0289750619873241	6.616235268784479
0.7167227827692477	0.5684544960603031	0.1192872679552397	0.029130972031366584	0.030659516172908664	8.052001671882254
0.659490395043711	0.5086964013010874	0.12334785146561263	0.030308006684846955	0.03311988264388713	5.474885600753172
0.607562671487318	0.4598803793815732	0.12985964353513782	0.032245956438286545	0.03654614545822824	11.765953850450572
0.5603910101091798	0.4198885031701485	0.13928009754830914	0.03511710371174538	0.04122614386108371	13.800442924347694
0.5174888495986844	0.38709912106784206	0.15230684796438512	0.03919343611979766	0.047593806522029464	7.237001586148127
0.4784241018183413	0.3602638828308327	0.1699789764544214	0.04489762984259396	0.05630993612027867	9.486945118959346
0.4428125697591293	0.33841877306041374	0.19384137013303582	0.05289113692142334	0.06840055552401679	8.560167174063992
0.4103122150707836	0.3208192844134356	0.22621461260230494	0.0642300843226254	0.08550115353793937	5.014573693684882
0.3806181589840545	0.306892942998056	0.2706475039808008	0.08065087309618889	0.11030406037654729	1.7982693577106037
0.3534583171602302	0.2962044743606165	0.33269614985679735	0.10511612628575742	0.1474137939826611	0.8849423560918056
0.3285895832053942	0.2884303134016436	0.42130679499653867	0.14291218759887356	0.20506537449050813	1.552751492060612
0.3057944876669345	0.28334013585373213	0.5513539095601737	0.2039894325934094	0.29877917252414826	7.495848935359842
0.28487826961765955	0.28078376486016965	0.7484673353115779	0.30831098818103037	0.4596663901680067	14.182419125240699
0.2656663067055018	0.2806822752782187	1.0585482580798755	0.49912239807738723	0.7548087063789409	17.310402886038972
0.24800185703671215	0.2830224380800374	1.5671445333258787	0.8792530852349923	1.3418959818077072	13.158133180913676
0.23174407266327707	0.28785385067752123	2.4396834305672574	1.7226791851243553	2.6309935746960362	21.163621490356217
0.21676624992560875	0.2952881996270436	4.003645629356467	3.866738175138365	5.8135164754820225	26.753867110707617
0.20295428659813555	0.30550009518934157	6.896330296400956	10.287559998385428	14.679882755260458	69.20253626133024
0.19020531981530006	0.31872877797009413	12.197439492661239	32.47542496144131	40.4067480873137	621.5420016234725
0.17842652221755015	0.3352796778569248	20.8415828946218	96.29763555164675	91.22708755764833	979.7929004041797
0.16753403673482473	0.3555242273245055	30.458673674759048	119.08286044392386	94.11594944111428	434.31021747589926
0.15745203298959012	0.3798953859184986	32.81846550111369	48.508404181713345	43.67450346110601	16.75357147046653
0.14811187051271296	0.40887488778809283	24.896457209967455	15.379986462367183	16.363324311725513	1.440831585442031
0.13945135587433136	0.44296616065064526	14.84924250541355	5.626413248244991	6.65863641028676	4.606539994577441
0.13141408248165606	0.48264417990216807	8.070104703213575	2.459258605702494	3.0984618399133295	4.493771181401898
0.12394884322319853	0.5282705571987516	4.384836108468622	1.2446691972091413	1.6274544954901933	5.510593910847506
0.11700910737558019	0.5799600337004508	2.4786486484092873	0.7065615512036363	0.9443520295584299	18.28984606530815
0.1105525542616451	0.637385805509552	1.4751070772153885	0.4391767533520456	0.5942727304338752	30.303278543057637
0.10454065707986457	0.6995204362244365	0.924464180157132	0.2937440483070322	0.39982132686795796	27.040383465708917
0.09893831113454517	0.7643332315161481	0.6077894660194958	0.20876457485781422	0.2845068642618209	10.931404064756702
0.09371350140080842	0.8285098293453534	0.4171721309507764	0.15619006944255354	0.21238078883349387	5.136592835960311
0.08883700497202668	0.8873224328860417	0.2975389662415564	0.12215395495913192	0.1652743484485848	15.275500347959444
0.0842821244726408	0.9348339148109478	0.21960058005263058	0.09932833443138395	0.13342410368921742	14.642776314481466
0.08002444898659604	0.9646081250852994	0.16712310120042634	0.08362022732644031	0.11130408865273866	5.375723175731709
0.0760416394600577	0.9709525986696107	0.13075113143741648	0.07263613926952	0.0956463579699059	2.557061552426894
0.07231323589442358	0.9504297379861669	0.10489667360055122	0.06492316124525697	0.08444567703941416	3.5345798680841174
0.06882048395862378	0.90307622205769	0.08611177209643252	0.059573602331181134	0.07643362207432762	5.045421016299928
0.06554617892411405	0.8327236715303473	0.07220571960005827	0.05600947444211674	0.07078836590561229	7.599433784007161
0.06247452506679013	0.7461684225543491	0.06174959179606286	0.05386030246108512	0.06696820354846679	11.060203861907002
0.05959100889163551	0.6515149101508914	0.05378929911554141	0.05289134711141137	0.06461257098568494	7.180519459807502
0.05688228472196882	0.5564007233379558	0.04767455318694647	0.05295989056486367	0.06348101711179657	7.980661326197286
0.054336071358946324	0.46674450679985735	0.04295421941728031	0.05398731079251075	0.06341392519826308	8.2901393603967
0.051941058661287585	0.38626917797086924	0.039310754992654566	0.0559397228462268	0.06430567419844226	3.9408059004425224
0.04968682302247457	0.3166688104741012	0.03651825771951659	0.05881249448448969	0.06608461000416166	4.686396517505592
0.0475637508350402	0.2581150909428531	0.03441512568401815	0.06261518014615094	0.06869625622519068	4.699480180517439
0.04556296913085754	0.2098284641324469	0.03288596822158087	0.06735407253731923	0.07208749068440445	5.124742723479942
0.04367628267415687	0.1705548912024689	0.03184950704604689	0.07301021234813691	0.0761904715760097	3.1751339513502836
0.041896116861747885	0.1388965046321054	0.0312504437515504	0.07951193794030799	0.08090626971063372	5.393100871273406
0.04021546585380963	0.11350773292592713	0.03105401445632224	0.08670356422549749	0.08608964490613037	12.6569661047
0.03862784541970983	0.09319214830846001	0.031242407432670385	0.09431596129335035	0.09153812266204231	14.211598522777638
0.037127250037545856	0.07693606345277204	0.03181249913779315	0.10195006092062944	0.0969899785440749	9.272657167974588
0.03570811383428253	0.06390672441813001	0.032774532019384156	0.10908811112334248	0.10213594175769365	3.303829952756579
0.034365274996207264	0.05343357207552474	0.034151448282294855	0.11514530079424526	0.1066472694533598	1.9728368155186655
0.03309394331755257	0.04498351796263806	0.03597862333587543	0.11956221198111222	0.11021793603543735	1.5406078522308642
0.03188967058909816	0.03813605587523269	0.038303713799287445	0.12191816236205597	0.11261237510275425	0.9088638585866899
0.030748323558845225	0.03256089580778839	0.04118624090328261	0.12202768487509999	0.11370566564682173	2.0730079634666527
0.029666059223865327	0.02799905157064979	0.04469635765138974	0.11998177454634947	0.11350357033447556	15.379593281744507
0.0286393022365509	0.02424741850013785	0.04891198418656458	0.1161172774687738	0.11213620944035646	30.151951924165395
