omega	$N=5120$
3.868698710433763482e-02	1.200916427017035915e+01
3.888237592809691556e-02	1.207793782627672030e+01
3.907776475185619630e-02	1.214888208813495396e+01
3.927315357561547704e-02	1.222202815963811062e+01
3.946854239937475778e-02	1.229740782510048369e+01
3.966393122313403852e-02	1.237505354575860927e+01
3.985932004689331926e-02	1.245499845498712510e+01
4.005470887065259999e-02	1.253727635212591274e+01
4.025009769441188073e-02	1.262192169480909243e+01
4.044548651817116147e-02	1.270896958967851376e+01
4.064087534193044221e-02	1.279845578135816275e+01
4.083626416568972295e-02	1.289041663955831751e+01
4.103165298944900369e-02	1.298488914417017526e+01
4.122704181320828443e-02	1.308191086820395554e+01
4.142243063696756517e-02	1.318151995841524382e+01
4.161781946072684590e-02	1.328375511345554116e+01
4.181320828448613358e-02	1.338865555937388407e+01
4.200859710824541432e-02	1.349626102228760871e+01
4.220398593200469506e-02	1.360661169803060133e+01
4.239937475576397580e-02	1.371974821857741134e+01
4.259476357952325654e-02	1.383571161503259361e+01
4.279015240328253727e-02	1.395454327696263697e+01
4.298554122704181801e-02	1.407628490784009756e+01
4.318093005080109875e-02	1.420097847635601163e+01
4.337631887456037949e-02	1.432866616334893273e+01
4.357170769831966023e-02	1.445939030408635695e+01
4.376709652207894097e-02	1.459319332562429494e+01
4.396248534583822171e-02	1.473011767896031010e+01
4.415787416959750245e-02	1.487020576568488117e+01
4.435326299335678318e-02	1.501349985882531790e+01
4.454865181711606392e-02	1.516004201756722303e+01
4.474404064087534466e-02	1.530987399552862982e+01
4.493942946463462540e-02	1.546303714225262560e+01
4.513481828839390614e-02	1.561957229757788035e+01
4.533020711215318688e-02	1.577951967853590709e+01
4.552559593591246762e-02	1.594291875842147910e+01
4.572098475967174835e-02	1.610980813767322672e+01
4.591637358343102909e-02	1.628022540620106540e+01
4.611176240719030983e-02	1.645420699679339194e+01
4.630715123094959057e-02	1.663178802923477662e+01
4.650254005470887131e-02	1.681300214477100852e+01
4.669792887846815205e-02	1.699788133055669093e+01
