omega	$N=6040$
1.142762504140443919e-02	1.050962623671696383e+04
1.159324279562769233e-02	9.864399210511555793e+03
1.175886054985094374e-02	9.265010401483013993e+03
1.192447830407419689e-02	8.707765747320470837e+03
1.209009605829745003e-02	8.189304337440547897e+03
1.225571381252070317e-02	7.706565182489034669e+03
1.242133156674395458e-02	7.256757610476798618e+03
1.258694932096720773e-02	6.837334860741835655e+03
1.275256707519046087e-02	6.445970501391571815e+03
1.291818482941371402e-02	6.080537342940125200e+03
1.308380258363696542e-02	5.739088561631576340e+03
1.324942033786021857e-02	5.419840781292135034e+03
1.341503809208347171e-02	5.121158893242803970e+03
1.358065584630672486e-02	4.841542420518003382e+03
1.374627360052997800e-02	4.579613255861119796e+03
1.391189135475322941e-02	4.334104623247190830e+03
1.407750910897648255e-02	4.103851130367418591e+03
1.424312686319973570e-02	3.887779794986802699e+03
1.440874461742298884e-02	3.684901941611231450e+03
1.457436237164624025e-02	3.494305876778310903e+03
1.473998012586949340e-02	3.315150261684820634e+03
1.490559788009274654e-02	3.146658110017484432e+03
1.507121563431599968e-02	2.988111346894805138e+03
1.523683338853925109e-02	2.838845871912812527e+03
1.540245114276250424e-02	2.698247075532770850e+03
1.556806889698575738e-02	2.565745763564731988e+03
1.573368665120901053e-02	2.440814449368474016e+03
1.589930440543226367e-02	2.322963977709118808e+03
1.606492215965551681e-02	2.211740448013289551e+03
1.623053991387876996e-02	2.106722408165349407e+03
1.639615766810201963e-02	2.007518292979654916e+03
1.656177542232527278e-02	1.913764084155436649e+03
1.672739317654852592e-02	1.825121170895103432e+03
1.689301093077177907e-02	1.741274392479067728e+03
1.705862868499503221e-02	1.661930245971278282e+03
1.722424643921828535e-02	1.586815243912084952e+03
1.738986419344153850e-02	1.515674408353374019e+03
1.755548194766479164e-02	1.448269888930658453e+03
1.772109970188804132e-02	1.384379693867346987e+03
1.788671745611129446e-02	1.323796523879494316e+03
1.805233521033454760e-02	1.266326699911362311e+03
1.821795296455780075e-02	1.211789176495648690e+03
1.838357071878105389e-02	1.160014633307713666e+03
1.854918847300430704e-02	1.110844638178885361e+03
1.871480622722756018e-02	1.064130875460756215e+03
1.888042398145081333e-02	1.019734434195969357e+03
1.904604173567406647e-02	9.775251510597164497e+02
1.921165948989731614e-02	9.373810034925808168e+02
1.937727724412056929e-02	8.991875488609426839e+02
1.954289499834382243e-02	8.628374058520207655e+02
1.970851275256707558e-02	8.282297746496925583e+02
1.987413050679032872e-02	7.952699927414398644e+02
2.003974826101358186e-02	7.638691234833187309e+02
2.020536601523683501e-02	7.339435747994842814e+02
2.037098376946008815e-02	7.054147456207365394e+02
2.053660152368333783e-02	6.782086978704707008e+02
2.070221927790659097e-02	6.522558519951875269e+02
2.086783703212984412e-02	6.274907042045927028e+02
2.103345478635309726e-02	6.038515637417788184e+02
2.119907254057635040e-02	5.812803086438514129e+02
2.136469029479960355e-02	5.597221585807100155e+02
2.153030804902285669e-02	5.391254634769757104e+02
2.169592580324610984e-02	5.194415067269959536e+02
2.186154355746936298e-02	5.006243219104964055e+02
2.202716131169261266e-02	4.826305220043474833e+02
2.219277906591586580e-02	4.654191401663878196e+02
2.235839682013911894e-02	4.489514812413393656e+02
2.252401457436237209e-02	4.331909832058682355e+02
2.268963232858562523e-02	4.181030878316387884e+02
2.285525008280887838e-02	4.036551199017029603e+02
2.302086783703213152e-02	3.898161743670036685e+02
2.318648559125538466e-02	3.765570108776058760e+02
2.335210334547863434e-02	3.638499551660111706e+02
2.351772109970188748e-02	3.516688068006581602e+02
2.368333885392514063e-02	3.399887528635299532e+02
2.384895660814839377e-02	3.287862871398465359e+02
2.401457436237164692e-02	3.180391344386649166e+02
2.418019211659490006e-02	3.077261796913768990e+02
2.434580987081815320e-02	2.978274015017010470e+02
2.451142762504140635e-02	2.883238098443036961e+02
2.467704537926465949e-02	2.791973876317087502e+02
2.484266313348790917e-02	2.704310358895212403e+02
2.500828088771116231e-02	2.620085222986389795e+02
2.517389864193441545e-02	2.539144328807063857e+02
2.533951639615766860e-02	2.461341266189850785e+02
2.550513415038092174e-02	2.386536928215849684e+02
2.567075190460417489e-02	2.314599110477421391e+02
2.583636965882742803e-02	2.245402134304601418e+02
2.600198741305068117e-02	2.178826492403417490e+02
2.616760516727393085e-02	2.114758515465011328e+02
2.633322292149718399e-02	2.053090058402271154e+02
2.649884067572043714e-02	1.993718204964069685e+02
2.666445842994369028e-02	1.936544989562702881e+02
2.683007618416694343e-02	1.881477135229662565e+02
2.699569393839019657e-02	1.828425806688316300e+02
2.716131169261344971e-02	1.777306377600346536e+02
2.732692944683670286e-02	1.728038211105809125e+02
2.749254720105995600e-02	1.680544452836428206e+02
2.765816495528320568e-02	1.634751835634681356e+02
2.782378270950645882e-02	1.590590495263724620e+02
2.798940046372971197e-02	1.547993796438592256e+02
2.815501821795296511e-02	1.506898168554170354e+02
2.832063597217621825e-02	1.467242950525554193e+02
2.848625372639947140e-02	1.428970244194091777e+02
2.865187148062272454e-02	1.392024775788177351e+02
2.881748923484597769e-02	1.356353764960379635e+02
2.898310698906922736e-02	1.321906800952982053e+02
2.914872474329248050e-02	1.288635725472391869e+02
2.931434249751573365e-02	1.256494521880026554e+02
2.947996025173898679e-02	1.225439210331084467e+02
2.964557800596223994e-02	1.195427748516246567e+02
2.981119576018549308e-02	1.166419937683206740e+02
2.997681351440874623e-02	1.138377333633892619e+02
3.014243126863199937e-02	1.111263162413088708e+02
3.030804902285525251e-02	1.085042240421431501e+02
3.047366677707850219e-02	1.059680898701516725e+02
3.063928453130175533e-02	1.035146911161685068e+02
3.080490228552500848e-02	1.011409426516724608e+02
3.097052003974826162e-02	9.884389037367925823e+01
3.113613779397151476e-02	9.662070508099576216e+01
3.130175554819476791e-02	9.446867666340602909e+01
3.146737330241802105e-02	9.238520858655707002e+01
3.163299105664127420e-02	9.036781265627283233e+01
3.179860881086452734e-02	8.841410404702654091e+01
3.196422656508778049e-02	8.652179658016311237e+01
3.212984431931103363e-02	8.468869823832976351e+01
3.229546207353428677e-02	8.291270690338163263e+01
3.246107982775753992e-02	8.119180630571663926e+01
3.262669758198078612e-02	7.952406217373220443e+01
3.279231533620403927e-02	7.790761857274658553e+01
3.295793309042729241e-02	7.634069442331272626e+01
3.312355084465054555e-02	7.482158018944977584e+01
3.328916859887379870e-02	7.334863472785242777e+01
3.345478635309705184e-02	7.192028228964279890e+01
3.362040410732030499e-02	7.053500966669319894e+01
3.378602186154355813e-02	6.919136347503334150e+01
3.395163961576681128e-02	6.788794756821835108e+01
3.411725736999006442e-02	6.662342057399007444e+01
3.428287512421331756e-02	6.539649354788809887e+01
3.444849287843657071e-02	6.420592773784584040e+01
3.461411063265982385e-02	6.305053245412611318e+01
3.477972838688307700e-02	6.192916303924975807e+01
3.494534614110633014e-02	6.084071893289962674e+01
3.511096389532958328e-02	5.978414182699263080e+01
3.527658164955283643e-02	5.875841390645089035e+01
